Timestamp,DistanceCM,OffsetRatio,BallDetected,DistToMarker0,DistToMarker1,DistFromOffset,Velocity,FrameTimeSec,FrameRateHz
"2025-01-18 03:08:28.206",0.00,0.00,0,0.00,0.00,0.00,0.00,0.030511,32.78
"2025-01-18 03:08:28.350",0.00,0.00,0,0.00,0.00,0.00,0.00,0.092231,10.84
"2025-01-18 03:08:28.497",0.00,0.00,0,0.00,0.00,0.00,0.00,0.084642,11.81
"2025-01-18 03:08:28.585",0.00,0.00,0,0.00,0.00,0.00,0.00,0.075507,13.24
"2025-01-18 03:08:28.643",0.00,0.00,0,0.00,0.00,0.00,0.00,0.032692,30.59
"2025-01-18 03:08:28.726",0.00,0.00,0,0.00,0.00,0.00,0.00,0.042759,23.39
"2025-01-18 03:08:28.870",0.00,0.00,0,0.00,0.00,0.00,0.00,0.031212,32.04
"2025-01-18 03:08:28.953",0.00,0.00,0,0.00,0.00,0.00,0.00,0.022755,43.95
"2025-01-18 03:08:29.107",0.00,0.00,0,0.00,0.00,0.00,0.00,0.036574,27.34
"2025-01-18 03:08:29.201",0.00,0.00,0,0.00,0.00,0.00,0.00,0.024562,40.71
"2025-01-18 03:08:29.361",0.00,0.00,0,0.00,0.00,0.00,0.00,0.024850,40.24
"2025-01-18 03:08:29.516",0.00,0.00,0,0.00,0.00,0.00,0.00,0.024766,40.38
"2025-01-18 03:08:29.610",0.00,0.00,0,0.00,0.00,0.00,0.00,0.029538,33.86
"2025-01-18 03:08:29.682",0.00,0.00,0,0.00,0.00,0.00,0.00,0.037929,26.37
"2025-01-18 03:08:29.808",0.00,0.00,0,0.00,0.00,0.00,0.00,0.028601,34.96
"2025-01-18 03:08:29.876",0.00,0.00,0,0.00,0.00,0.00,0.00,0.030590,32.69
"2025-01-18 03:08:30.047",0.00,0.00,0,0.00,0.00,0.00,0.00,0.031095,32.16
"2025-01-18 03:08:30.208",0.00,0.00,0,0.00,0.00,0.00,0.00,0.101717,9.83
"2025-01-18 03:08:30.269",0.00,0.00,0,0.00,0.00,0.00,0.00,0.050809,19.68
"2025-01-18 03:08:30.311",0.00,0.00,0,0.00,0.00,0.00,0.00,0.021815,45.84
"2025-01-18 03:08:30.359",0.00,0.00,0,0.00,0.00,0.00,0.00,0.023376,42.78
"2025-01-18 03:08:30.432",0.00,0.00,0,0.00,0.00,0.00,0.00,0.025830,38.71
"2025-01-18 03:08:30.539",0.00,0.00,0,0.00,0.00,0.00,0.00,0.030403,32.89
"2025-01-18 03:08:30.634",0.00,0.00,0,0.00,0.00,0.00,0.00,0.044404,22.52
"2025-01-18 03:08:30.686",0.00,0.00,0,0.00,0.00,0.00,0.00,0.030835,32.43
"2025-01-18 03:08:30.800",0.00,0.00,0,0.00,0.00,0.00,0.00,0.028459,35.14
"2025-01-18 03:08:30.889",0.00,0.00,0,0.00,0.00,0.00,0.00,0.040366,24.77
"2025-01-18 03:08:31.032",0.00,0.00,0,0.00,0.00,0.00,0.00,0.029234,34.21
"2025-01-18 03:08:31.100",0.00,0.00,0,0.00,0.00,0.00,0.00,0.027049,36.97
"2025-01-18 03:08:31.274",0.00,0.00,0,0.00,0.00,0.00,0.00,0.033978,29.43
"2025-01-18 03:08:31.360",0.00,0.00,0,0.00,0.00,0.00,0.00,0.027101,36.90
"2025-01-18 03:08:31.519",0.00,0.00,0,0.00,0.00,0.00,0.00,0.022942,43.59
"2025-01-18 03:08:31.711",0.00,0.00,0,0.00,0.00,0.00,0.00,0.020880,47.89
"2025-01-18 03:08:31.807",0.00,0.00,0,0.00,0.00,0.00,0.00,0.032764,30.52
"2025-01-18 03:08:31.915",0.00,0.00,0,0.00,0.00,0.00,0.00,0.073586,13.59
"2025-01-18 03:08:31.956",0.00,0.00,0,0.00,0.00,0.00,0.00,0.023486,42.58
"2025-01-18 03:08:32.030",0.00,0.00,0,0.00,0.00,0.00,0.00,0.026224,38.13
"2025-01-18 03:08:32.119",0.00,0.00,0,0.00,0.00,0.00,0.00,0.037903,26.38
"2025-01-18 03:08:32.242",0.00,0.00,0,0.00,0.00,0.00,0.00,0.024828,40.28
"2025-01-18 03:08:32.347",0.00,0.00,0,0.00,0.00,0.00,0.00,0.023695,42.20
"2025-01-18 03:08:32.504",0.00,0.00,0,0.00,0.00,0.00,0.00,0.053438,18.71
"2025-01-18 03:08:32.614",0.00,0.00,0,0.00,0.00,0.00,0.00,0.087188,11.47
"2025-01-18 03:08:32.716",0.00,0.00,0,0.00,0.00,0.00,0.00,0.031626,31.62
"2025-01-18 03:08:32.776",0.00,0.00,0,0.00,0.00,0.00,0.00,0.039399,25.38
"2025-01-18 03:08:32.913",0.00,0.00,0,0.00,0.00,0.00,0.00,0.032578,30.70
"2025-01-18 03:08:33.004",0.00,0.00,0,0.00,0.00,0.00,0.00,0.034488,29.00
"2025-01-18 03:08:33.042",0.00,0.00,0,0.00,0.00,0.00,0.00,0.025862,38.67
"2025-01-18 03:08:33.145",0.00,0.00,0,0.00,0.00,0.00,0.00,0.037603,26.59
"2025-01-18 03:08:33.218",0.00,0.00,0,0.00,0.00,0.00,0.00,0.041100,24.33
"2025-01-18 03:08:33.299",0.00,0.00,0,0.00,0.00,0.00,0.00,0.035770,27.96
"2025-01-18 03:08:33.524",0.00,0.00,0,0.00,0.00,0.00,0.00,0.027600,36.23
"2025-01-18 03:08:33.713",0.00,0.00,0,0.00,0.00,0.00,0.00,0.115519,8.66
"2025-01-18 03:08:33.827",0.00,0.00,0,0.00,0.00,0.00,0.00,0.036418,27.46
"2025-01-18 03:08:33.916",0.00,0.00,0,0.00,0.00,0.00,0.00,0.038559,25.93
"2025-01-18 03:08:34.077",0.00,0.00,0,0.00,0.00,0.00,0.00,0.094012,10.64
"2025-01-18 03:08:34.178",0.00,0.00,0,0.00,0.00,0.00,0.00,0.057788,17.30
"2025-01-18 03:08:34.220",0.00,0.00,0,0.00,0.00,0.00,0.00,0.023726,42.15
"2025-01-18 03:08:34.265",0.00,0.00,0,0.00,0.00,0.00,0.00,0.027102,36.90
"2025-01-18 03:08:34.339",0.00,0.00,0,0.00,0.00,0.00,0.00,0.062871,15.91
"2025-01-18 03:08:34.439",0.00,0.00,0,0.00,0.00,0.00,0.00,0.040652,24.60
"2025-01-18 03:08:34.535",0.00,0.00,0,0.00,0.00,0.00,0.00,0.070612,14.16
"2025-01-18 03:08:34.658",0.00,0.00,0,0.00,0.00,0.00,0.00,0.028682,34.87
"2025-01-18 03:08:34.723",0.00,0.00,0,0.00,0.00,0.00,0.00,0.030751,32.52
"2025-01-18 03:08:34.887",0.00,0.00,0,0.00,0.00,0.00,0.00,0.052090,19.20
"2025-01-18 03:08:34.956",0.00,0.00,0,0.00,0.00,0.00,0.00,0.030461,32.83
"2025-01-18 03:08:35.030",0.00,0.00,0,0.00,0.00,0.00,0.00,0.042467,23.55
"2025-01-18 03:08:35.148",0.00,0.00,0,0.00,0.00,0.00,0.00,0.024133,41.44
"2025-01-18 03:08:35.233",0.00,0.00,0,0.00,0.00,0.00,0.00,0.044459,22.49
"2025-01-18 03:08:35.284",0.00,0.00,0,0.00,0.00,0.00,0.00,0.031469,31.78
"2025-01-18 03:08:35.389",0.00,0.00,0,0.00,0.00,0.00,0.00,0.050756,19.70
"2025-01-18 03:08:35.464",0.00,0.00,0,0.00,0.00,0.00,0.00,0.062035,16.12
"2025-01-18 03:08:35.511",0.00,0.00,0,0.00,0.00,0.00,0.00,0.032791,30.50
